Date_NodeID	1_0
2026050700	0.66
2026050701	0
2026050702	0
2026050703	0
2026050704	1
2026050705	1
2026050706	1
2026050707	0
2026050708	1
2026050709	0
2026050710	0
2026050711	0
2026050712	1
2026050713	0
2026050714	1
2026050715	0.85
2026050716	1
2026050717	0.77
2026050718	1
2026050719	1
2026050720	1
2026050721	1
2026050722	1
2026050723	1
2026050800	1
2026050801	1
2026050802	0.75
2026050803	0.75
2026050804	0.75
2026050805	0
2026050806	0
2026050807	0
2026050808	0
2026050809	0
2026050810	0
2026050811	0
2026050812	0
2026050813	0
2026050814	0
2026050815	0
2026050816	0
2026050817	0
2026050818	0
2026050819	0
2026050820	0
2026050821	0
2026050822	0
2026050823	0
